ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
5BF3F92DAEC4F186,electric_bike,2023-05-05 19:49:38.000000 UTC,2023-05-05 19:53:45.000000 UTC,,,Public Rack - Western Ave & Devon Ave,931,41.99,-87.68,42.0,-87.69,member
2A49162470F6B64D,electric_bike,2023-05-04 15:17:42.000000 UTC,2023-05-04 15:22:00.000000 UTC,,,Public Rack - Western Ave & Devon Ave,931,41.99,-87.68,42.0,-87.69,member
1841A2325DC5F3FE,electric_bike,2023-05-11 14:08:30.000000 UTC,2023-05-11 14:10:38.000000 UTC,,,Public Rack - Western Ave & Devon Ave,931,42.0,-87.68,42.0,-87.69,member
8A1F7BC58EA16955,electric_bike,2023-05-31 10:40:30.000000 UTC,2023-05-31 10:50:21.000000 UTC,,,,,41.98,-87.66,42.0,-87.66,member
DC0AB988614BB04B,electric_bike,2023-05-06 02:25:41.000000 UTC,2023-05-06 02:25:54.000000 UTC,,,,,42.0,-87.68,42.0,-87.68,member
AF3EE409ADC08EF6,electric_bike,2023-05-11 20:20:12.000000 UTC,2023-05-11 21:03:53.000000 UTC,,,,,42.04,-87.67,42.0,-87.66,casual
1CD623695A7FD884,electric_bike,2023-05-12 11:35:04.000000 UTC,2023-05-12 11:55:59.000000 UTC,,,,,42.0,-87.66,42.0,-87.67,casual
C4C51A566C0C7A9E,electric_bike,2023-05-10 10:24:36.000000 UTC,2023-05-10 10:36:58.000000 UTC,,,,,42.0,-87.69,42.0,-87.69,casual
7D363A20C8CB1DFB,electric_bike,2023-05-29 13:50:12.000000 UTC,2023-05-29 13:50:48.000000 UTC,,,,,42.0,-87.66,42.0,-87.66,casual
B3339114FE5A6CC4,electric_bike,2023-05-18 18:46:47.000000 UTC,2023-05-18 19:03:48.000000 UTC,,,,,42.05,-87.68,42.0,-87.67,casual
